position,age,nationality
Goalkeeper,28.0,United States
Goalkeeper,37.0,Ireland
Goalkeeper,20.0,England
Centre-Back,28.0,Netherlands
Centre-Back,23.0,Ireland
Centre-Back,20.0,Denmark
Centre-Back,22.0,England
Centre-Back,28.0,Switzerland
Centre-Back,19.0,St. Lucia
Left-Back,23.0,England
Left-Back,23.0,England
Left-Back,22.0,Spain
Left-Back,22.0,Ireland
Right-Back,24.0,England
Right-Back,28.0,Scotland
Defensive Midfield,23.0,England
Defensive Midfield,22.0,Mali
Defensive Midfield,24.0,Australia
Central Midfield,28.0,Morocco
Central Midfield,23.0,England
Central Midfield,21.0,England
Central Midfield,21.0,Curacao
Central Midfield,20.0,Jamaica
Right Midfield,23.0,England
Attacking Midfield,17.0,England
Left Winger,18.0,Ireland
Right Winger,27.0,France
Right Winger,21.0,Austria
Second Striker,23.0,Bulgaria
Centre-Forward,29.0,England
Centre-Forward,22.0,Belgium
Centre-Forward,26.0,England
Centre-Forward,32.0,England
Centre-Forward,24.0,Czech Republic
Centre-Forward,22.0,Denmark
Centre-Forward,21.0,England
