position,age,nationality
Goalkeeper,31,Spain
Goalkeeper,23,Poland
Goalkeeper,18,Poland
Goalkeeper,20,Italy
Centre-Back,27,Cote d'Ivoire
Centre-Back,30,France
Centre-Back,30,France
Centre-Back,21,Switzerland
Left-Back,22,France
Left-Back,18,England
Left-Back,18,England
Right-Back,25,France
Right-Back,25,Cote d'Ivoire
Right-Back,23,Trinidad and Tobago
Right-Back,18,Trinidad and Tobago
Right-Back,18,England
Defensive Midfield,20,Brazil
Defensive Midfield,20,Cameroon
Defensive Midfield,18,England
Defensive Midfield,17,France
Defensive Midfield,16,Ghana
Central Midfield,21,Spain
Central Midfield,17,Wales
Central Midfield,22,France
Central Midfield,18,Spain
Central Midfield,21,Portugal
Central Midfield,18,England
Central Midfield,17,England
Central Midfield,16,England
Attacking Midfield,27,Czech Republic
Attacking Midfield,21,France
Right Winger,19,Mexico
Right Winger,19,England
Second Striker,27,Russia
Centre-Forward,24,Togo
Centre-Forward,24,Netherlands
Centre-Forward,25,Croatia
Centre-Forward,20,Denmark
Centre-Forward,18,Portugal
Centre-Forward,17,England
Centre-Forward,19,England
