position,age,nationality
Goalkeeper,30,England
Goalkeeper,28,Ireland
Goalkeeper,29,England
Centre-Back,25,Ireland
Centre-Back,24,France
Centre-Back,24,Northern Ireland
Centre-Back,22,England
Centre-Back,35,Norway
Centre-Back,18,England
Centre-Back,20,England
Left-Back,30,England
Left-Back,25,Nigeria
Left-Back,24,France
Right-Back,27,Ireland
Defensive Midfield,27,Senegal
Central Midfield,25,England
Central Midfield,29,England
Central Midfield,21,England
Central Midfield,18,England
Central Midfield,27,England
Right Midfield,19,England
Right Midfield,25,England
Left Midfield,19,Ireland
Left Midfield,20,England
Left Winger,24,Wales
Left Winger,29,France
Right Winger,18,France
Centre-Forward,20,England
Centre-Forward,18,England
Centre-Forward,33,England
Centre-Forward,28,Netherlands
Centre-Forward,22,Nigeria
