position,age,nationality
Goalkeeper,21,Denmark
Goalkeeper,33,Netherlands
Goalkeeper,33,England
Goalkeeper,25,England
Goalkeeper,32,Belgium
Goalkeeper,17,Denmark
Centre-Back,29,Guadeloupe
Centre-Back,26,France
Centre-Back,17,England
Centre-Back,26,China
Centre-Back,24,Ireland
Centre-Back,22,Denmark
Centre-Back,22,England
Centre-Back,21,Ireland
Left-Back,28,Wales
Right-Back,27,England
Defensive Midfield,26,Martinique
Defensive Midfield,34,Netherlands
Central Midfield,30,United States
Central Midfield,21,England
Central Midfield,18,England
Central Midfield,19,Ireland
Right Midfield,19,England
Left Midfield,32,England
Attacking Midfield,29,France
Left Winger,26,Netherlands
Left Winger,31,England
Right Winger,22,England
Centre-Forward,29,England
Centre-Forward,26,Ireland
Centre-Forward,25,France
Centre-Forward,19,England
