position,age,nationality
Goalkeeper,28,France
Goalkeeper,31,Netherlands
Goalkeeper,19,England
Centre-Back,28,Belgium
Centre-Back,26,Belgium
Centre-Back,28,Argentina
Centre-Back,22,Austria
Centre-Back,17,United States
Left-Back,24,England
Left-Back,22,Wales
Right-Back,25,England
Right-Back,24,England
Right-Back,21,United States
Right-Back,18,England
Defensive Midfield,21,England
Central Midfield,27,Belgium
Central Midfield,20,Algeria
Central Midfield,24,England
Central Midfield,23,England
Central Midfield,19,England
Right Midfield,20,England
Attacking Midfield,23,Denmark
Attacking Midfield,19,England
Attacking Midfield,22,England
Attacking Midfield,18,England
Left Winger,22,"Korea, South"
Left Winger,25,Belgium
Right Winger,23,Argentina
Right Winger,23,England
Centre-Forward,21,England
Centre-Forward,21,Cameroon
