position,age,nationality
Goalkeeper,27,England
Goalkeeper,36,England
Goalkeeper,30,Ghana
Goalkeeper,34,England
Centre-Back,28,Austria
Centre-Back,26,England
Left-Back,29,Sweden
Left-Back,25,Honduras
Right-Back,31,Netherlands
Right-Back,22,Ecuador
Right-Back,28,Barbados
Right-Back,23,England
Defensive Midfield,20,England
Defensive Midfield,23,Honduras
Defensive Midfield,25,"Korea, South"
Defensive Midfield,20,Poland
Defensive Midfield,18,England
Central Midfield,31,England
Central Midfield,22,England
Central Midfield,19,England
Central Midfield,18,England
Right Midfield,18,Poland
Left Midfield,31,Ireland
Left Midfield,24,Netherlands
Attacking Midfield,28,Wales
Attacking Midfield,27,France
Attacking Midfield,33,France
Left Winger,24,Netherlands
Right Winger,22,France
Right Winger,17,England
Centre-Forward,30,England
Centre-Forward,25,Egypt
Centre-Forward,31,Senegal
Centre-Forward,22,Colombia
Centre-Forward,25,Egypt
