position,age,nationality
Goalkeeper,33,Finland
Goalkeeper,26,Oman
Goalkeeper,36,England
Goalkeeper,20,Hungary
Centre-Back,26,France
Centre-Back,22,England
Centre-Back,29,Ireland
Centre-Back,27,Nigeria
Centre-Back,20,Poland
Centre-Back,19,England
Left-Back,29,Jamaica
Right-Back,26,Iceland
Right-Back,24,England
Right-Back,22,Ireland
Right-Back,20,England
Defensive Midfield,27,Trinidad and Tobago
Central Midfield,20,England
Central Midfield,30,England
Central Midfield,22,Switzerland
Central Midfield,24,Israel
Central Midfield,20,England
Central Midfield,19,England
Left Midfield,26,England
Attacking Midfield,26,England
Left Winger,18,England
Right Winger,26,Netherlands
Right Winger,21,Portugal
Centre-Forward,27,Sweden
Centre-Forward,27,Portugal
Centre-Forward,27,Poland
Centre-Forward,31,England
Centre-Forward,30,Iceland
Centre-Forward,21,Hungary
