position,age,nationality
Goalkeeper,24,Belgium
Goalkeeper,27,Ireland
Centre-Back,29,Senegal
Centre-Back,30,Spain
Centre-Back,31,Ireland
Centre-Back,30,England
Centre-Back,32,England
Centre-Back,28,England
Centre-Back,18,England
Centre-Back,19,Ireland
Left-Back,27,England
Left-Back,21,England
Left-Back,18,England
Right-Back,27,Scotland
Right-Back,24,Egypt
Right-Back,19,England
Defensive Midfield,24,England
Defensive Midfield,22,England
Defensive Midfield,22,Senegal
Defensive Midfield,29,Wales
Central Midfield,27,Sweden
Central Midfield,25,England
Central Midfield,23,Ireland
Central Midfield,19,England
Attacking Midfield,28,Benin
Left Winger,23,Ireland
Right Winger,24,England
Right Winger,17,Ireland
Second Striker,29,Scotland
Centre-Forward,19,England
Centre-Forward,25,Scotland
Centre-Forward,26,England
Centre-Forward,24,England
Centre-Forward,21,"Korea, South"
Centre-Forward,33,France
Centre-Forward,17,Scotland
Centre-Forward,17,England
