position,age,nationality
Goalkeeper,34.0,Finland
Goalkeeper,27.0,Oman
Goalkeeper,21.0,Hungary
Centre-Back,23.0,England
Centre-Back,29.0,England
Centre-Back,30.0,Ireland
Centre-Back,30.0,England
Centre-Back,28.0,Nigeria
Centre-Back,20.0,England
Left-Back,30.0,Jamaica
Right-Back,27.0,Iceland
Right-Back,27.0,Wales
Right-Back,23.0,Ireland
Right-Back,25.0,England
Defensive Midfield,29.0,England
Defensive Midfield,28.0,Trinidad and Tobago
Central Midfield,21.0,England
Central Midfield,17.0,England
Central Midfield,31.0,England
Central Midfield,21.0,England
Central Midfield,25.0,Israel
Central Midfield,23.0,United States
Left Midfield,27.0,England
Attacking Midfield,20.0,"Korea, South"
Left Winger,19.0,England
Left Winger,19.0,Slovakia
Right Winger,27.0,Netherlands
Right Winger,22.0,Portugal
Centre-Forward,28.0,Sweden
Centre-Forward,32.0,England
Centre-Forward,29.0,Croatia
Centre-Forward,18.0,England
