position,age,nationality
Goalkeeper,32,Ireland
Goalkeeper,33,England
Goalkeeper,20,Netherlands
Goalkeeper,20,England
Centre-Back,26,Argentina
Centre-Back,22,England
Centre-Back,32,Brazil
Centre-Back,21,Cameroon
Centre-Back,21,Canada
Centre-Back,18,Hungary
Left-Back,22,Spain
Right-Back,30,Senegal
Right-Back,23,England
Defensive Midfield,18,England
Central Midfield,22,England
Central Midfield,25,England
Central Midfield,27,England
Central Midfield,24,Argentina
Central Midfield,33,England
Central Midfield,21,England
Central Midfield,16,Australia
Right Midfield,29,Ireland
Right Midfield,29,Cameroon
Attacking Midfield,26,England
Attacking Midfield,26,Uruguay
Attacking Midfield,17,England
Attacking Midfield,18,England
Left Winger,17,DR Congo
Right Winger,22,France
Centre-Forward,23,Nigeria
Centre-Forward,28,England
Centre-Forward,32,Australia
Centre-Forward,22,Spain
Centre-Forward,26,Nigeria
Centre-Forward,28,Denmark
Centre-Forward,19,England
Centre-Forward,18,Netherlands
Centre-Forward,17,England
