position,age,nationality
Goalkeeper,29,Spain
Goalkeeper,30,Australia
Goalkeeper,22,Hungary
Goalkeeper,19,Wales
Centre-Back,27,Slovakia
Centre-Back,27,Denmark
Centre-Back,21,Uruguay
Centre-Back,34,England
Centre-Back,20,Scotland
Centre-Back,19,England
Centre-Back,19,Germany
Centre-Back,16,England
Left-Back,26,Spain
Left-Back,18,England
Right-Back,27,England
Right-Back,22,England
Right-Back,19,England
Right-Back,19,England
Defensive Midfield,23,Turkey
Defensive Midfield,25,Brazil
Defensive Midfield,23,England
Central Midfield,32,England
Central Midfield,22,England
Central Midfield,26,Scotland
Central Midfield,22,Wales
Central Midfield,20,England
Left Midfield,27,England
Attacking Midfield,30,England
Left Winger,21,Italy
Left Winger,20,Brazil
Left Winger,23,Morocco
Left Winger,21,Spain
Right Winger,16,England
Right Winger,18,Spain
Right Winger,17,England
Centre-Forward,25,Uruguay
Centre-Forward,22,England
Centre-Forward,23,England
Centre-Forward,18,Germany
Centre-Forward,18,England
Centre-Forward,15,England
