position,age,nationality
Goalkeeper,31,England
Goalkeeper,31,Wales
Goalkeeper,26,England
Goalkeeper,19,England
Goalkeeper,17,England
Centre-Back,31,England
Centre-Back,31,Sweden
Centre-Back,24,England
Centre-Back,34,Northern Ireland
Centre-Back,20,England
Left-Back,26,Belgium
Left-Back,23,Australia
Right-Back,21,England
Right-Back,24,Costa Rica
Defensive Midfield,26,Argentina
Defensive Midfield,27,DR Congo
Defensive Midfield,32,Northern Ireland
Defensive Midfield,20,England
Central Midfield,28,Scotland
Central Midfield,27,England
Central Midfield,30,Scotland
Central Midfield,27,Scotland
Left Midfield,29,Northern Ireland
Attacking Midfield,30,Benin
Attacking Midfield,26,Argentina
Left Winger,29,Portugal
Left Winger,29,Greece
Right Winger,23,England
Second Striker,20,England
Centre-Forward,25,Nigeria
Centre-Forward,26,Nigeria
Centre-Forward,20,Burundi
Centre-Forward,21,Jamaica
Centre-Forward,15,Wales
