position,age,nationality
Goalkeeper,23,Belgium
Goalkeeper,28,Bosnia-Herzegovina
Goalkeeper,21,England
Goalkeeper,33,Italy
Centre-Back,29,England
Centre-Back,31,Serbia
Centre-Back,20,France
Centre-Back,26,Senegal
Centre-Back,34,England
Centre-Back,22,Czech Republic
Centre-Back,20,Netherlands
Centre-Back,22,Jamaica
Centre-Back,19,United States
Centre-Back,17,England
Centre-Back,17,England
Left-Back,20,Ghana
Right-Back,25,Spain
Right-Back,18,Nigeria
Defensive Midfield,26,Serbia
Defensive Midfield,28,Nigeria
Central Midfield,28,Spain
Central Midfield,28,Brazil
Central Midfield,19,England
Central Midfield,18,England
Left Midfield,19,Brazil
Attacking Midfield,23,Brazil
Attacking Midfield,18,England
Left Winger,24,Belgium
Right Winger,27,Colombia
Right Winger,26,Brazil
Right Winger,27,Spain
Right Winger,24,Nigeria
Right Winger,21,Brazil
Right Winger,19,Burkina Faso
Centre-Forward,26,Spain
Centre-Forward,29,Colombia
Centre-Forward,28,France
Centre-Forward,25,Brazil
Centre-Forward,21,England
Centre-Forward,17,England
