position,age,nationality
Goalkeeper,28,Belgium
Goalkeeper,23,Germany
Goalkeeper,28,Hungary
Goalkeeper,23,Wales
Goalkeeper,39,Austria
Centre-Back,26,France
Centre-Back,24,Cameroon
Centre-Back,26,Croatia
Centre-Back,19,England
Centre-Back,30,Estonia
Left-Back,23,Spain
Right-Back,25,England
Right-Back,23,England
Right-Back,23,England
Right-Back,20,England
Right-Back,17,England
Defensive Midfield,22,Germany
Defensive Midfield,29,Brazil
Defensive Midfield,22,England
Defensive Midfield,20,Wales
Central Midfield,26,England
Central Midfield,25,Netherlands
Central Midfield,30,England
Central Midfield,20,Serbia
Central Midfield,18,England
Attacking Midfield,28,England
Attacking Midfield,18,Portugal
Left Winger,24,Brazil
Left Winger,24,Senegal
Left Winger,16,Wales
Right Winger,22,Serbia
Right Winger,19,England
Right Winger,19,Wales
Centre-Forward,24,Brazil
Centre-Forward,26,England
Centre-Forward,23,England
Centre-Forward,21,Belgium
Centre-Forward,16,England
