position,age,nationality
Goalkeeper,30,Finland
Goalkeeper,33,England
Goalkeeper,23,Oman
Goalkeeper,19,England
Goalkeeper,18,England
Centre-Back,34,France
Centre-Back,29,Tunisia
Centre-Back,30,France
Centre-Back,27,Senegal
Centre-Back,23,Israel
Centre-Back,17,Poland
Left-Back,26,Jamaica
Right-Back,21,England
Right-Back,19,Ireland
Defensive Midfield,31,Spain
Central Midfield,16,England
Left Midfield,35,Wales
Attacking Midfield,31,Nigeria
Attacking Midfield,28,Japan
Attacking Midfield,23,England
Attacking Midfield,16,Senegal
Left Winger,30,Senegal
Left Winger,25,France
Right Winger,30,Greece
Right Winger,18,Portugal
Centre-Forward,24,Senegal
Centre-Forward,28,England
Centre-Forward,30,Denmark
Centre-Forward,31,Mexico
Centre-Forward,27,England
