position,age,nationality
Goalkeeper,26,Netherlands
Goalkeeper,23,England
Goalkeeper,28,Ireland
Goalkeeper,17,England
Goalkeeper,21,England
Centre-Back,32,Argentina
Centre-Back,30,England
Centre-Back,28,England
Centre-Back,20,England
Centre-Back,21,Australia
Centre-Back,18,Slovakia
Centre-Back,19,England
Left-Back,23,Italy
Left-Back,21,Mali
Left-Back,22,Wales
Right-Back,24,Netherlands
Right-Back,29,England
Right-Back,18,England
Defensive Midfield,28,Cote d'Ivoire
Defensive Midfield,25,Netherlands
Defensive Midfield,24,England
Central Midfield,24,France
Central Midfield,30,Argentina
Central Midfield,20,Burundi
Central Midfield,21,Algeria
Central Midfield,17,France
Left Midfield,22,Northern Ireland
Attacking Midfield,25,Netherlands
Attacking Midfield,24,France
Attacking Midfield,21,Slovenia
Left Winger,28,France
Left Winger,18,England
Right Winger,25,France
Right Winger,18,England
Right Winger,17,England
Second Striker,20,Spain
Second Striker,19,England
Centre-Forward,29,Senegal
Centre-Forward,23,Argentina
Centre-Forward,24,France
Centre-Forward,22,England
Centre-Forward,17,England
