position,age,nationality
Goalkeeper,29,Ireland
Goalkeeper,30,England
Centre-Back,25,France
Centre-Back,23,England
Centre-Back,29,Australia
Centre-Back,19,England
Centre-Back,21,England
Left-Back,26,Nigeria
Left-Back,31,England
Right-Back,28,Ireland
Defensive Midfield,28,Senegal
Central Midfield,24,Turkey
Central Midfield,24,England
Central Midfield,22,England
Central Midfield,30,England
Central Midfield,19,England
Central Midfield,28,England
Central Midfield,18,South Africa
Right Midfield,26,England
Right Midfield,30,Peru
Right Midfield,20,England
Left Midfield,20,Ireland
Left Winger,27,Spain
Right Winger,32,England
Right Winger,19,France
Centre-Forward,25,England
Centre-Forward,23,Nigeria
Centre-Forward,34,England
Centre-Forward,21,England
