position,age,nationality
Goalkeeper,32,United States
Goalkeeper,28,Slovakia
Goalkeeper,39,United States
Centre-Back,28,England
Centre-Back,27,Netherlands
Centre-Back,33,France
Centre-Back,19,Germany
Centre-Back,19,Ireland
Left-Back,26,England
Right-Back,22,Ireland
Right-Back,34,England
Right-Back,30,England
Defensive Midfield,20,England
Central Midfield,23,Belgium
Central Midfield,29,Spain
Central Midfield,30,England
Central Midfield,23,Ireland
Central Midfield,19,England
Central Midfield,17,England
Central Midfield,19,England
Left Midfield,24,Netherlands
Attacking Midfield,31,Australia
Attacking Midfield,26,Russia
Attacking Midfield,19,England
Left Winger,29,South Africa
Second Striker,28,Scotland
Second Striker,29,United States
Centre-Forward,32,France
Centre-Forward,27,Jamaica
Centre-Forward,25,Croatia
Centre-Forward,23,Nigeria
Centre-Forward,23,Argentina
Centre-Forward,20,Senegal
Centre-Forward,21,Portugal
Centre-Forward,19,Greece
Centre-Forward,18,England
