position,age,nationality
Goalkeeper,25,England
Goalkeeper,31,Czech Republic
Centre-Back,24,England
Centre-Back,21,England
Centre-Back,26,France
Centre-Back,23,England
Centre-Back,35,Morocco
Centre-Back,22,England
Left-Back,28,"Korea, South"
Left-Back,26,Sweden
Right-Back,27,Canada
Right-Back,21,Ireland
Defensive Midfield,23,England
Defensive Midfield,18,England
Defensive Midfield,26,Portugal
Defensive Midfield,25,Finland
Central Midfield,32,Netherlands
Central Midfield,22,England
Central Midfield,28,England
Central Midfield,28,England
Central Midfield,22,England
Left Midfield,22,Ireland
Left Winger,20,England
Right Winger,18,England
Centre-Forward,22,England
Centre-Forward,24,Ireland
Centre-Forward,27,Mali
Centre-Forward,22,Egypt
Centre-Forward,26,Poland
Centre-Forward,20,England
