position,age,nationality
Goalkeeper,36,United States
Goalkeeper,30,Finland
Goalkeeper,20,Faroe Island
Goalkeeper,25,Wales
Goalkeeper,19,England
Centre-Back,32,Switzerland
Centre-Back,32,Netherlands
Centre-Back,25,Georgia
Centre-Back,29,New Zealand
Centre-Back,26,South Africa
Centre-Back,23,Congo
Centre-Back,18,Ireland
Centre-Back,17,England
Left-Back,25,England
Left-Back,29,Switzerland
Left-Back,19,Sweden
Right-Back,26,Ireland
Right-Back,19,Northern Ireland
Defensive Midfield,30,Switzerland
Defensive Midfield,36,Turkey
Defensive Midfield,19,Australia
Central Midfield,25,Norway
Central Midfield,32,Wales
Central Midfield,22,Scotland
Central Midfield,18,Ireland
Central Midfield,19,Scotland
Right Midfield,28,Australia
Right Midfield,22,England
Left Midfield,20,Germany
Left Midfield,18,Ireland
Attacking Midfield,27,England
Left Winger,19,Italy
Centre-Forward,29,South Africa
Centre-Forward,29,Grenada
Centre-Forward,25,Paraguay
Centre-Forward,23,Netherlands
Centre-Forward,21,England
Centre-Forward,18,England
