position,age,nationality
Goalkeeper,27,Germany
Goalkeeper,29,Denmark
Goalkeeper,28,England
Centre-Back,31,Germany
Centre-Back,29,Tunisia
Centre-Back,27,Spain
Centre-Back,32,Jamaica
Centre-Back,25,Mali
Centre-Back,36,Poland
Centre-Back,19,England
Left-Back,30,Austria
Left-Back,19,England
Right-Back,29,England
Defensive Midfield,24,France
Defensive Midfield,21,Ghana
Defensive Midfield,19,Nigeria
Central Midfield,26,England
Central Midfield,27,Wales
Central Midfield,24,England
Right Midfield,26,England
Left Midfield,23,Ghana
Attacking Midfield,19,Poland
Attacking Midfield,18,England
Left Winger,20,England
Left Winger,22,Wales
Right Winger,25,Algeria
Centre-Forward,23,Nigeria
Centre-Forward,29,England
Centre-Forward,28,Algeria
Centre-Forward,30,Japan
Centre-Forward,29,Argentina
