position,age,nationality
Goalkeeper,27,Bosnia-Herzegovina
Goalkeeper,21,England
Goalkeeper,38,Denmark
Centre-Back,26,England
Centre-Back,25,Germany
Centre-Back,29,Germany
Centre-Back,26,Ireland
Centre-Back,22,Spain
Centre-Back,21,Slovakia
Left-Back,25,Netherlands
Right-Back,29,Scotland
Right-Back,29,England
Defensive Midfield,25,France
Defensive Midfield,28,United States
Defensive Midfield,30,Ireland
Defensive Midfield,29,Honduras
Central Midfield,28,Scotland
Central Midfield,31,England
Central Midfield,23,Scotland
Attacking Midfield,27,Ireland
Attacking Midfield,16,England
Left Winger,25,Morocco
Right Winger,23,Nigeria
Right Winger,30,Ireland
Right Winger,32,Nigeria
Right Winger,20,England
Second Striker,23,Spain
Centre-Forward,26,Senegal
Centre-Forward,25,Austria
Centre-Forward,33,England
