position,age,nationality
Goalkeeper,31,France
Goalkeeper,29,Wales
Goalkeeper,37,Argentina
Goalkeeper,21,Albania
Centre-Back,26,France
Centre-Back,27,England
Centre-Back,29,England
Centre-Back,34,Ireland
Centre-Back,21,England
Centre-Back,21,England
Left-Back,26,Senegal
Left-Back,25,Netherlands
Left-Back,23,England
Right-Back,26,England
Right-Back,26,England
Right-Back,18,England
Right-Back,18,England
Midfielder,18,England
Midfielder,17,England
Defensive Midfield,25,Serbia
Defensive Midfield,31,Australia
Defensive Midfield,32,France
Defensive Midfield,20,England
Central Midfield,30,France
Central Midfield,28,Scotland
Central Midfield,24,England
Central Midfield,29,Wales
Central Midfield,19,Afghanistan
Left Midfield,23,Ghana
Attacking Midfield,30,England
Attacking Midfield,27,"Korea, South"
Attacking Midfield,22,Wales
Left Winger,27,DR Congo
Left Winger,28,Mali
Left Winger,20,England
Left Winger,21,England
Right Winger,24,England
Right Winger,23,Cote d'Ivoire
Centre-Forward,25,Belgium
Centre-Forward,29,France
Centre-Forward,23,England
Centre-Forward,28,England
Centre-Forward,21,Belgium
Centre-Forward,25,Ghana
Centre-Forward,23,England
