position,age,nationality
Goalkeeper,27,Wales
Goalkeeper,35,Argentina
Goalkeeper,29,Wales
Goalkeeper,21,Scotland
Centre-Back,33,Norway
Centre-Back,27,England
Centre-Back,27,Jamaica
Centre-Back,31,Ireland
Centre-Back,32,Ireland
Centre-Back,30,England
Left-Back,24,Senegal
Left-Back,21,England
Left-Back,19,England
Right-Back,24,England
Right-Back,24,England
Defensive Midfield,29,Australia
Defensive Midfield,18,England
Central Midfield,27,Wales
Central Midfield,26,Scotland
Central Midfield,22,England
Central Midfield,24,Scotland
Central Midfield,28,Algeria
Central Midfield,26,Ireland
Central Midfield,23,England
Central Midfield,18,England
Attacking Midfield,25,"Korea, South"
Attacking Midfield,28,England
Attacking Midfield,20,Wales
Left Winger,25,DR Congo
Left Winger,31,England
Left Winger,18,England
Right Winger,21,Cote d'Ivoire
Centre-Forward,26,England
Centre-Forward,23,England
Centre-Forward,30,England
Centre-Forward,30,Morocco
Centre-Forward,21,France
Centre-Forward,30,Ireland
Centre-Forward,32,Nigeria
Centre-Forward,31,Scotland
Centre-Forward,33,England
Centre-Forward,23,Ghana
