position,age,nationality
Goalkeeper,32,England
Goalkeeper,31,Denmark
Goalkeeper,32,Wales
Goalkeeper,18,England
Goalkeeper,20,England
Centre-Back,27,Northern Ireland
Centre-Back,32,England
Centre-Back,32,Sweden
Centre-Back,26,Wales
Centre-Back,25,England
Centre-Back,35,Northern Ireland
Centre-Back,18,Ireland
Left-Back,27,Belgium
Right-Back,25,Costa Rica
Defensive Midfield,26,Brazil
Defensive Midfield,27,Argentina
Central Midfield,29,Scotland
Central Midfield,28,England
Central Midfield,31,Scotland
Central Midfield,17,England
Left Midfield,30,Northern Ireland
Left Midfield,17,England
Attacking Midfield,31,Benin
Attacking Midfield,22,England
Attacking Midfield,18,England
Left Winger,26,Ireland
Right Winger,24,England
Right Winger,19,Germany
Right Winger,16,England
Centre-Forward,25,Venezuela
Centre-Forward,21,Burundi
Centre-Forward,26,Nigeria
Centre-Forward,33,England
Centre-Forward,27,Nigeria
Centre-Forward,16,Wales
