position,age,nationality
Goalkeeper,25,England
Goalkeeper,36,Netherlands
Centre-Back,24,Colombia
Centre-Back,26,England
Centre-Back,22,England
Centre-Back,34,Wales
Centre-Back,36,England
Centre-Back,24,England
Left-Back,25,France
Left-Back,34,England
Left-Back,23,England
Left-Back,26,England
Right-Back,30,Ireland
Right-Back,22,England
Defensive Midfield,29,France
Defensive Midfield,26,Bosnia-Herzegovina
Central Midfield,25,Portugal
Central Midfield,29,Senegal
Central Midfield,20,England
Central Midfield,28,Ireland
Central Midfield,20,DR Congo
Attacking Midfield,29,Iceland
Attacking Midfield,21,England
Left Winger,22,Brazil
Left Winger,21,England
Left Winger,26,Brazil
Right Winger,30,England
Centre-Forward,28,Turkey
Centre-Forward,22,England
