position,age,nationality
Goalkeeper,35,Germany
Goalkeeper,33,Estonia
Goalkeeper,28,Spain
Goalkeeper,18,England
Centre-Back,30,England
Centre-Back,24,Cote d'Ivoire
Centre-Back,31,France
Centre-Back,20,Switzerland
Centre-Back,17,England
Centre-Back,18,Switzerland
Left-Back,24,England
Left-Back,19,France
Right-Back,28,Cameroon
Right-Back,22,Cote d'Ivoire
Right-Back,20,Trinidad and Tobago
Right-Back,18,England
Defensive Midfield,28,Brazil
Defensive Midfield,21,France
Defensive Midfield,17,Cameroon
Central Midfield,18,Spain
Central Midfield,20,Sweden
Central Midfield,19,France
Central Midfield,19,Ireland
Central Midfield,17,England
Left Midfield,31,France
Attacking Midfield,28,Sweden
Attacking Midfield,24,Belarus
Left Winger,19,Ghana
Right Winger,21,Spain
Right Winger,16,England
Second Striker,36,Netherlands
Centre-Forward,27,France
Centre-Forward,21,Togo
Centre-Forward,21,Netherlands
Centre-Forward,18,Italy
Centre-Forward,17,Denmark
Centre-Forward,16,Ireland
