position,age,nationality
Goalkeeper,26,Italy
Goalkeeper,27,Romania
Goalkeeper,20,England
Goalkeeper,17,Poland
Centre-Back,27,France
Centre-Back,23,Uruguay
Centre-Back,33,Ireland
Centre-Back,25,Argentina
Centre-Back,34,England
Left-Back,23,Netherlands
Left-Back,18,England
Right-Back,27,England
Right-Back,34,France
Defensive Midfield,23,England
Defensive Midfield,25,Scotland
Defensive Midfield,26,England
Defensive Midfield,25,Switzerland
Defensive Midfield,18,Australia
Central Midfield,29,Sweden
Central Midfield,29,Spain
Central Midfield,19,England
Left Midfield,29,Italy
Attacking Midfield,26,Argentina
Attacking Midfield,19,England
Right Winger,26,England
Right Winger,20,Greece
Right Winger,24,England
Right Winger,20,England
Centre-Forward,27,Scotland
Centre-Forward,24,United States
Centre-Forward,31,England
Centre-Forward,21,England
Centre-Forward,28,England
Centre-Forward,19,Scotland
