position,age,nationality
Goalkeeper,22.0,England
Goalkeeper,37.0,Northern Ireland
Goalkeeper,24.0,Ireland
Goalkeeper,19.0,Poland
Centre-Back,24.0,England
Centre-Back,26.0,England
Centre-Back,29.0,England
Centre-Back,32.0,Ecuador
Centre-Back,22.0,England
Centre-Back,17.0,England
Left-Back,25.0,England
Left-Back,30.0,France
Left-Back,27.0,France
Right-Back,26.0,England
Right-Back,32.0,Ireland
Defensive Midfield,31.0,Scotland
Defensive Midfield,29.0,Finland
Defensive Midfield,35.0,Ireland
Central Midfield,22.0,England
Central Midfield,32.0,England
Central Midfield,24.0,Sweden
Central Midfield,23.0,Spain
Central Midfield,30.0,Northern Ireland
Central Midfield,26.0,Ireland
Central Midfield,17.0,England
Central Midfield,17.0,England
Attacking Midfield,20.0,Ireland
Left Winger,26.0,England
Left Winger,15.0,England
Right Winger,17.0,England
Second Striker,26.0,Scotland
Centre-Forward,23.0,Ecuador
Centre-Forward,22.0,England
Centre-Forward,35.0,England
Centre-Forward,31.0,England
Centre-Forward,26.0,Scotland
