position,age,nationality
Goalkeeper,32,Denmark
Goalkeeper,25,Wales
Goalkeeper,34,Switzerland
Centre-Back,26,England
Centre-Back,23,Turkey
Centre-Back,31,Northern Ireland
Centre-Back,35,Jamaica
Left-Back,22,England
Left-Back,33,Austria
Left-Back,24,Australia
Right-Back,25,Portugal
Right-Back,32,England
Defensive Midfield,22,Nigeria
Defensive Midfield,26,France
Defensive Midfield,24,Ghana
Defensive Midfield,21,England
Central Midfield,22,Belgium
Central Midfield,27,England
Right Midfield,29,England
Attacking Midfield,22,England
Attacking Midfield,21,England
Attacking Midfield,22,Poland
Left Winger,22,England
Left Winger,25,Italy
Right Winger,27,Algeria
Right Winger,22,Wales
Centre-Forward,32,England
Centre-Forward,22,Nigeria
Centre-Forward,33,Japan
