position,age,nationality
Goalkeeper,29,England
Goalkeeper,29,Wales
Goalkeeper,24,England
Centre-Back,29,Sweden
Centre-Back,27,England
Centre-Back,28,Romania
Centre-Back,26,Chile
Centre-Back,32,Northern Ireland
Centre-Back,22,England
Centre-Back,18,England
Left-Back,27,North Macedonia
Right-Back,31,Ireland
Right-Back,25,England
Right-Back,20,England
Defensive Midfield,25,DR Congo
Defensive Midfield,24,Argentina
Defensive Midfield,19,England
Central Midfield,26,Scotland
Central Midfield,25,Scotland
Central Midfield,33,Hungary
Central Midfield,20,Scotland
Left Midfield,27,Northern Ireland
Left Winger,21,Belgium
Left Winger,29,England
Right Winger,30,Nigeria
Second Striker,15,England
Centre-Forward,19,Belgium
Centre-Forward,25,Ireland
Centre-Forward,29,Sweden
Centre-Forward,30,French Guiana
Centre-Forward,18,Burundi
Centre-Forward,19,Jamaica
