position,age,nationality
Goalkeeper,35,Northern Ireland
Goalkeeper,29,Ghana
Goalkeeper,22,Ireland
Goalkeeper,20,England
Centre-Back,26,Brazil
Centre-Back,20,Switzerland
Centre-Back,31,Tunisia
Centre-Back,22,England
Centre-Back,27,England
Centre-Back,22,England
Centre-Back,17,Barbados
Left-Back,28,France
Left-Back,23,England
Right-Back,24,England
Right-Back,23,Ireland
Defensive Midfield,25,Spain
Defensive Midfield,28,Tunisia
Defensive Midfield,22,Honduras
Central Midfield,19,England
Central Midfield,22,Sweden
Central Midfield,28,Northern Ireland
Central Midfield,24,Guyana
Central Midfield,15,England
Attacking Midfield,26,France
Left Winger,24,England
Left Winger,23,Netherlands
Second Striker,20,Argentina
Second Striker,24,Scotland
Second Striker,18,Nigeria
Centre-Forward,20,England
Centre-Forward,26,Finland
Centre-Forward,24,Scotland
Centre-Forward,24,England
