position,age,nationality
Goalkeeper,26.0,England
Goalkeeper,28.0,England
Goalkeeper,39.0,England
Centre-Back,26.0,Cameroon
Centre-Back,32.0,Nigeria
Centre-Back,23.0,England
Centre-Back,27.0,Scotland
Centre-Back,29.0,England
Centre-Back,18.0,Algeria
Left-Back,25.0,Sweden
Left-Back,28.0,Spain
Right-Back,29.0,Scotland
Right-Back,18.0,England
Defensive Midfield,27.0,Norway
Central Midfield,23.0,Netherlands
Central Midfield,29.0,Argentina
Central Midfield,25.0,England
Central Midfield,26.0,England
Central Midfield,23.0,England
Central Midfield,29.0,England
Right Midfield,24.0,Jamaica
Attacking Midfield,31.0,Ireland
Left Winger,25.0,Ireland
Left Winger,19.0,England
Left Winger,18.0,England
Right Winger,25.0,Scotland
Right Winger,18.0,England
Centre-Forward,24.0,Netherlands
Centre-Forward,25.0,England
Centre-Forward,32.0,Sweden
Centre-Forward,29.0,Argentina
Centre-Forward,19.0,Jamaica
