position,age,nationality
Goalkeeper,33,Ireland
Goalkeeper,37,Czech Republic
Goalkeeper,28,Ireland
Goalkeeper,20,Latvia
Centre-Back,24,England
Centre-Back,26,England
Centre-Back,30,England
Centre-Back,31,Wales
Centre-Back,28,England
Centre-Back,32,England
Centre-Back,29,Latvia
Centre-Back,23,England
Centre-Back,27,England
Centre-Back,30,Nigeria
Centre-Back,23,Brazil
Left-Back,26,Nigeria
Left-Back,21,Senegal
Right-Back,31,England
Right-Back,18,Ireland
Defensive Midfield,22,Mali
Defensive Midfield,33,England
Central Midfield,28,England
Central Midfield,24,Argentina
Central Midfield,32,Ireland
Central Midfield,29,Hungary
Right Midfield,32,England
Left Midfield,23,England
Attacking Midfield,22,Morocco
Attacking Midfield,27,Norway
Attacking Midfield,25,England
Attacking Midfield,21,Colombia
Left Winger,28,England
Right Winger,29,England
Right Winger,25,Scotland
Right Winger,17,England
Second Striker,17,Portugal
Centre-Forward,29,France
Centre-Forward,30,England
Centre-Forward,19,Italy
Centre-Forward,29,England
Centre-Forward,29,England
Centre-Forward,31,England
Centre-Forward,31,England
Centre-Forward,28,England
Centre-Forward,19,Grenada
Centre-Forward,30,Ghana
Centre-Forward,33,Iceland
Centre-Forward,21,England
