position,age,nationality
Goalkeeper,32,Finland
Goalkeeper,24,England
Goalkeeper,18,England
Goalkeeper,22,Northern Ireland
Goalkeeper,34,United States
Centre-Back,20,Belgium
Centre-Back,31,Norway
Centre-Back,31,Sweden
Centre-Back,28,Sweden
Centre-Back,22,Tunisia
Centre-Back,17,England
Centre-Back,25,Gibraltar
Centre-Back,25,England
Centre-Back,17,England
Centre-Back,21,England
Left-Back,35,England
Left-Back,24,France
Right-Back,33,England
Right-Back,32,Scotland
Right-Back,26,Sweden
Defensive Midfield,26,England
Defensive Midfield,27,Sweden
Defensive Midfield,19,Togo
Defensive Midfield,22,Northern Ireland
Central Midfield,17,England
Central Midfield,27,Ireland
Central Midfield,22,England
Central Midfield,20,France
Central Midfield,31,England
Central Midfield,25,Scotland
Left Winger,29,Scotland
Left Winger,24,France
Centre-Forward,30,England
Centre-Forward,26,England
Centre-Forward,23,England
Centre-Forward,19,Trinidad and Tobago
Centre-Forward,27,Latvia
Centre-Forward,18,Antigua and Barbuda
Centre-Forward,17,Ireland
Centre-Forward,27,England
Centre-Forward,27,Senegal
