position,age,nationality
Goalkeeper,18,England
Goalkeeper,34,Germany
Goalkeeper,23,England
Goalkeeper,27,Spain
Goalkeeper,17,England
Centre-Back,30,France
Centre-Back,19,Switzerland
Centre-Back,29,England
Centre-Back,23,Cote d'Ivoire
Centre-Back,17,Switzerland
Left-Back,23,England
Left-Back,18,France
Left-Back,19,United States
Right-Back,19,United States
Right-Back,27,Cameroon
Right-Back,21,Cote d'Ivoire
Right-Back,19,Trinidad and Tobago
Midfielder,19,England
Defensive Midfield,28,France
Defensive Midfield,20,France
Defensive Midfield,27,Brazil
Defensive Midfield,21,Denmark
Central Midfield,17,Spain
Central Midfield,26,Brazil
Central Midfield,18,Ireland
Central Midfield,19,Sweden
Left Midfield,30,France
Attacking Midfield,27,Sweden
Left Winger,18,Ghana
Left Winger,17,England
Right Winger,20,Spain
Right Winger,21,England
Second Striker,35,Netherlands
Centre-Forward,20,Netherlands
Centre-Forward,26,France
Centre-Forward,21,France
Centre-Forward,17,Italy
