position,age,nationality
Goalkeeper,23,Spain
Goalkeeper,32,Spain
Goalkeeper,30,Denmark
Goalkeeper,24,England
Goalkeeper,21,England
Centre-Back,22,England
Centre-Back,26,Northern Ireland
Centre-Back,24,England
Centre-Back,24,Netherlands
Centre-Back,24,Argentina
Centre-Back,21,England
Centre-Back,21,England
Left-Back,28,England
Left-Back,18,England
Left-Back,20,England
Left-Back,20,England
Right-Back,28,Ecuador
Right-Back,23,Brazil
Right-Back,22,Belgium
Right-Back,18,Switzerland
Defensive Midfield,32,England
Defensive Midfield,19,Northern Ireland
Central Midfield,26,Belgium
Central Midfield,24,Spain
Central Midfield,24,England
Central Midfield,26,Brazil
Central Midfield,30,Scotland
Attacking Midfield,26,Spain
Attacking Midfield,25,Japan
Attacking Midfield,20,England
Attacking Midfield,18,Brazil
Left Winger,27,Portugal
Right Winger,26,Argentina
Right Winger,21,Cote d'Ivoire
Right Winger,19,Belgium
Right Winger,21,England
Centre-Forward,28,Colombia
Centre-Forward,28,England
Centre-Forward,30,Netherlands
Centre-Forward,23,England
Centre-Forward,26,Mexico
Centre-Forward,21,England
Centre-Forward,18,England
