position,age,nationality
Goalkeeper,36,England
Goalkeeper,23,England
Goalkeeper,23,Netherlands
Goalkeeper,25,Ireland
Goalkeeper,20,Sweden
Centre-Back,29,Argentina
Centre-Back,25,England
Centre-Back,27,England
Centre-Back,21,Hungary
Centre-Back,19,England
Left-Back,20,Italy
Left-Back,19,Wales
Right-Back,24,England
Right-Back,25,England
Right-Back,26,England
Right-Back,19,England
Defensive Midfield,25,Cote d'Ivoire
Central Midfield,25,France
Central Midfield,27,Argentina
Central Midfield,28,England
Central Midfield,24,England
Central Midfield,30,England
Central Midfield,21,England
Central Midfield,18,Algeria
Left Midfield,19,Northern Ireland
Attacking Midfield,25,Martinique
Attacking Midfield,24,France
Attacking Midfield,18,Slovenia
Attacking Midfield,20,England
Right Winger,22,France
Centre-Forward,26,Senegal
Centre-Forward,26,Senegal
Centre-Forward,29,Nigeria
Centre-Forward,31,Denmark
Centre-Forward,20,England
Centre-Forward,24,Ireland
Centre-Forward,19,England
