position,age,nationality
Goalkeeper,31,Ireland
Goalkeeper,32,England
Goalkeeper,19,Netherlands
Goalkeeper,19,England
Centre-Back,26,Czech Republic
Centre-Back,21,England
Centre-Back,29,Senegal
Centre-Back,31,Brazil
Centre-Back,23,England
Centre-Back,31,Senegal
Centre-Back,20,Canada
Left-Back,21,Spain
Right-Back,29,Senegal
Right-Back,30,Ireland
Defensive Midfield,17,England
Central Midfield,26,Turkey
Central Midfield,21,England
Central Midfield,24,England
Central Midfield,26,England
Central Midfield,32,England
Right Midfield,28,Ireland
Right Midfield,32,Peru
Right Midfield,28,Cameroon
Attacking Midfield,18,Australia
Left Winger,16,DR Congo
Right Winger,21,France
Centre-Forward,22,Nigeria
Centre-Forward,27,England
Centre-Forward,31,Australia
Centre-Forward,25,Nigeria
Centre-Forward,18,England
