position,age,nationality
Goalkeeper,24.0,England
Goalkeeper,27.0,Wales
Goalkeeper,39.0,Ireland
Goalkeeper,22.0,England
Centre-Back,30.0,Austria
Centre-Back,23.0,Netherlands
Centre-Back,26.0,Romania
Centre-Back,29.0,Cote d'Ivoire
Centre-Back,28.0,Spain
Centre-Back,24.0,England
Centre-Back,27.0,Sweden
Centre-Back,24.0,Chile
Centre-Back,20.0,England
Centre-Back,18.0,England
Left-Back,29.0,England
Left-Back,27.0,Slovakia
Left-Back,20.0,England
Right-Back,29.0,Ireland
Right-Back,18.0,England
Defensive Midfield,23.0,DR Congo
Defensive Midfield,17.0,England
Central Midfield,24.0,Scotland
Central Midfield,23.0,Scotland
Central Midfield,18.0,England
Left Midfield,25.0,Northern Ireland
Attacking Midfield,27.0,Cameroon
Left Winger,27.0,England
Right Winger,28.0,Nigeria
Right Winger,21.0,Mexico
Centre-Forward,28.0,French Guiana
Centre-Forward,23.0,England
Centre-Forward,27.0,Czech Republic
Centre-Forward,24.0,England
Centre-Forward,21.0,Jamaica
Centre-Forward,23.0,Ireland
Centre-Forward,18.0,New Zealand
Centre-Forward,16.0,Burundi
