position,age,nationality
Goalkeeper,27,England
Goalkeeper,23,Argentina
Goalkeeper,32,Netherlands
Goalkeeper,38,England
Centre-Back,23,England
Centre-Back,26,Romania
Centre-Back,26,Japan
Centre-Back,23,Netherlands
Centre-Back,31,Portugal
Centre-Back,21,England
Centre-Back,20,England
Centre-Back,19,England
Left-Back,25,England
Left-Back,19,England
Left-Back,20,England
Right-Back,23,Portugal
Right-Back,25,Curacao
Defensive Midfield,24,Kenya
Defensive Midfield,24,Netherlands
Defensive Midfield,23,Spain
Central Midfield,20,England
Central Midfield,30,Northern Ireland
Central Midfield,20,England
Attacking Midfield,24,Uruguay
Left Winger,26,Serbia
Left Winger,23,Senegal
Left Winger,22,Wales
Right Winger,22,Spain
Centre-Forward,25,England
Centre-Forward,29,Italy
Centre-Forward,28,Ireland
Centre-Forward,25,England
Centre-Forward,19,England
Centre-Forward,19,England
Centre-Forward,17,England
