position,age,nationality
Goalkeeper,19,England
Goalkeeper,31,Australia
Goalkeeper,30,England
Goalkeeper,22,Australia
Centre-Back,19,England
Centre-Back,31,England
Centre-Back,23,England
Centre-Back,33,England
Centre-Back,17,England
Centre-Back,17,England
Left-Back,25,France
Left-Back,37,England
Left-Back,17,England
Right-Back,31,Netherlands
Right-Back,21,England
Right-Back,18,England
Defensive Midfield,28,Netherlands
Central Midfield,31,England
Central Midfield,25,England
Central Midfield,18,Scotland
Central Midfield,17,England
Right Midfield,30,Spain
Right Midfield,32,Brazil
Left Midfield,19,England
Left Winger,27,Netherlands
Right Winger,25,England
Right Winger,16,England
Second Striker,26,Slovakia
Centre-Forward,26,Cameroon
Centre-Forward,32,Netherlands
Centre-Forward,18,England
Centre-Forward,28,Australia
