position,age,nationality
Goalkeeper,37.0,Australia
Goalkeeper,24.0,England
Goalkeeper,39.0,Switzerland
Goalkeeper,20.0,Philippines
Centre-Back,29.0,Norway
Centre-Back,30.0,Northern Ireland
Centre-Back,30.0,Mexico
Centre-Back,25.0,Switzerland
Centre-Back,23.0,Algeria
Left-Back,29.0,England
Left-Back,19.0,Guyana
Right-Back,29.0,Ghana
Right-Back,26.0,Ireland
Right-Back,26.0,Sweden
Defensive Midfield,28.0,Nigeria
Defensive Midfield,28.0,Northern Ireland
Central Midfield,22.0,Belgium
Central Midfield,33.0,England
Central Midfield,27.0,England
Central Midfield,31.0,Hungary
Central Midfield,31.0,England
Central Midfield,25.0,South Africa
Right Midfield,31.0,Ireland
Right Midfield,30.0,Wales
Right Midfield,27.0,Norway
Left Winger,19.0,DR Congo
Right Winger,29.0,Senegal
Second Striker,27.0,United States
Centre-Forward,29.0,England
Centre-Forward,29.0,England
Centre-Forward,31.0,Iceland
Centre-Forward,26.0,United States
Centre-Forward,27.0,Sweden
Centre-Forward,19.0,Netherlands
