position,age,nationality
Goalkeeper,35,Finland
Goalkeeper,37,United States
Goalkeeper,33,Trinidad and Tobago
Goalkeeper,20,Portugal
Centre-Back,27,England
Centre-Back,27,Northern Ireland
Centre-Back,28,United States
Centre-Back,26,Norway
Centre-Back,32,Serbia
Centre-Back,21,DR Congo
Centre-Back,33,England
Centre-Back,28,France
Centre-Back,28,Finland
Centre-Back,21,Australia
Left-Back,26,England
Left-Back,20,England
Right-Back,24,Germany
Right-Back,29,Canada
Right-Back,18,England
Defensive Midfield,32,Russia
Defensive Midfield,29,Senegal
Defensive Midfield,33,New Zealand
Defensive Midfield,25,Northern Ireland
Central Midfield,22,Northern Ireland
Central Midfield,28,England
Central Midfield,30,England
Central Midfield,24,Denmark
Central Midfield,22,Ireland
Central Midfield,20,England
Right Midfield,27,Wales
Attacking Midfield,36,Finland
Attacking Midfield,18,England
Left Winger,24,England
Right Winger,28,"Korea, South"
Right Winger,26,Senegal
Right Winger,22,Algeria
Second Striker,24,United States
Centre-Forward,30,Finland
Centre-Forward,29,Norway
Centre-Forward,21,Netherlands
Centre-Forward,35,United States
Centre-Forward,23,United States
Centre-Forward,27,Northern Ireland
