position,age,nationality
Goalkeeper,34,Netherlands
Goalkeeper,26,United States
Goalkeeper,20,England
Centre-Back,26,England
Centre-Back,27,Argentina
Centre-Back,27,France
Centre-Back,23,Serbia
Centre-Back,24,Ireland
Centre-Back,25,England
Centre-Back,18,Spain
Left-Back,24,France
Left-Back,20,England
Left-Back,19,England
Right-Back,30,England
Right-Back,20,Scotland
Defensive Midfield,33,Ireland
Central Midfield,30,England
Central Midfield,24,England
Central Midfield,21,Scotland
Central Midfield,28,South Africa
Central Midfield,24,Ireland
Central Midfield,18,England
Central Midfield,17,Ireland
Left Midfield,31,Wales
Attacking Midfield,24,"Korea, South"
Attacking Midfield,18,England
Left Winger,20,Portugal
Second Striker,32,Norway
Centre-Forward,29,Netherlands
Centre-Forward,19,England
Centre-Forward,26,France
Centre-Forward,18,Italy
Centre-Forward,19,England
Centre-Forward,17,England
