position,age,nationality
Goalkeeper,40,England
Goalkeeper,27,England
Goalkeeper,29,Finland
Centre-Back,18,England
Centre-Back,25,Brazil
Centre-Back,33,France
Centre-Back,28,Tunisia
Centre-Back,30,France
Centre-Back,36,Spain
Centre-Back,22,Israel
Left-Back,25,Jamaica
Left-Back,30,France
Right-Back,31,England
Right-Back,20,England
Right-Back,18,Ireland
Defensive Midfield,30,Spain
Right Midfield,19,Guyana
Left Midfield,34,Wales
Attacking Midfield,22,England
Attacking Midfield,30,Nigeria
Attacking Midfield,26,Nigeria
Left Winger,29,Senegal
Right Winger,29,Greece
Right Winger,17,Portugal
Centre-Forward,29,Denmark
Centre-Forward,27,England
Centre-Forward,23,Senegal
Centre-Forward,37,England
