position,age,nationality
Goalkeeper,32,Wales
Goalkeeper,32,Spain
Goalkeeper,40,Argentina
Goalkeeper,21,Brazil
Goalkeeper,21,England
Centre-Back,29,France
Centre-Back,30,England
Centre-Back,22,Netherlands
Centre-Back,32,England
Centre-Back,24,England
Left-Back,28,Netherlands
Left-Back,29,Senegal
Right-Back,21,England
Right-Back,29,England
Right-Back,29,England
Defensive Midfield,28,Serbia
Defensive Midfield,29,Senegal
Central Midfield,31,Scotland
Left Midfield,26,Ghana
Attacking Midfield,23,Germany
Left Winger,31,Mali
Right Winger,26,Cote d'Ivoire
Right Winger,27,England
Centre-Forward,28,Belgium
Centre-Forward,27,Ghana
Centre-Forward,26,England
