position,age,nationality
Goalkeeper,24,Spain
Goalkeeper,24,Cameroon
Goalkeeper,21,England
Goalkeeper,21,England
Centre-Back,29,England
Centre-Back,22,Denmark
Centre-Back,33,Finland
Centre-Back,22,Slovakia
Centre-Back,19,Ghana
Centre-Back,18,England
Left-Back,26,Norway
Left-Back,27,Brazil
Left-Back,18,Argentina
Left-Back,18,England
Right-Back,31,Ireland
Right-Back,24,Spain
Right-Back,18,England
Defensive Midfield,25,Spain
Defensive Midfield,23,Argentina
Defensive Midfield,22,Mali
Defensive Midfield,20,Brazil
Defensive Midfield,18,Spain
Defensive Midfield,18,England
Defensive Midfield,19,France
Central Midfield,27,England
Central Midfield,20,England
Right Midfield,18,England
Right Midfield,18,England
Right Midfield,18,Scotland
Left Midfield,18,England
Left Winger,20,Netherlands
Left Winger,28,Australia
Left Winger,20,Argentina
Right Winger,26,Netherlands
Right Winger,24,England
Right Winger,27,Israel
Right Winger,20,Morocco
Right Winger,19,England
Second Striker,27,Ukraine
Centre-Forward,23,Spain
Centre-Forward,26,England
