position,age,nationality
Goalkeeper,18,England
Goalkeeper,25,Argentina
Goalkeeper,28,Hungary
Centre-Back,33,Wales
Centre-Back,25,England
Centre-Back,22,England
Centre-Back,30,Australia
Centre-Back,23,England
Centre-Back,24,Uruguay
Centre-Back,28,England
Left-Back,29,England
Left-Back,18,England
Right-Back,24,England
Right-Back,24,Barbados
Midfielder,20,Australia
Defensive Midfield,19,England
Defensive Midfield,26,England
Defensive Midfield,21,Antigua and Barbuda
Defensive Midfield,27,Finland
Central Midfield,18,England
Central Midfield,17,England
Right Midfield,24,England
Right Midfield,27,Greece
Attacking Midfield,32,Northern Ireland
Forward,26,England
Left Winger,22,Jamaica
Left Winger,19,England
Right Winger,29,Finland
Centre-Forward,29,England
Centre-Forward,17,England
Centre-Forward,16,Jamaica
Centre-Forward,23,England
Centre-Forward,30,Scotland
Centre-Forward,22,Hungary
Centre-Forward,26,Ecuador
Centre-Forward,26,Italy
