position,age,nationality
Goalkeeper,26,Spain
Goalkeeper,33,Netherlands
Goalkeeper,19,Poland
Centre-Back,25,Argentina
Centre-Back,31,Wales
Centre-Back,33,England
Centre-Back,22,England
Centre-Back,19,England
Centre-Back,21,England
Left-Back,31,England
Left-Back,26,Costa Rica
Left-Back,20,England
Left-Back,23,England
Right-Back,27,Ireland
Right-Back,19,England
Defensive Midfield,26,France
Defensive Midfield,23,Bosnia-Herzegovina
Defensive Midfield,35,England
Central Midfield,22,England
Central Midfield,25,Ireland
Central Midfield,26,England
Central Midfield,26,Senegal
Central Midfield,28,Ireland
Central Midfield,19,England
Central Midfield,18,England
Left Winger,27,DR Congo
Left Winger,30,Ireland
Left Winger,18,England
Right Winger,28,Belgium
Right Winger,22,Spain
Right Winger,29,England
Centre-Forward,23,Belgium
Centre-Forward,26,Senegal
Centre-Forward,26,Ecuador
Centre-Forward,21,Switzerland
Centre-Forward,32,Cote d'Ivoire
Centre-Forward,23,Uruguay
Centre-Forward,23,England
Centre-Forward,19,England
