position,age,nationality
Goalkeeper,24,England
Goalkeeper,20,England
Goalkeeper,18,England
Centre-Back,25,England
Centre-Back,26,England
Centre-Back,20,Spain
Centre-Back,27,United States
Centre-Back,21,England
Centre-Back,25,Scotland
Left-Back,32,England
Left-Back,25,England
Right-Back,22,England
Right-Back,22,Belgium
Defensive Midfield,20,England
Central Midfield,24,England
Central Midfield,23,England
Central Midfield,28,Scotland
Central Midfield,24,England
Central Midfield,27,England
Central Midfield,27,Wales
Right Midfield,22,Jamaica
Attacking Midfield,29,Ireland
Left Winger,23,Ireland
Centre-Forward,22,England
Centre-Forward,30,England
Centre-Forward,27,Wales
Centre-Forward,22,Scotland
Centre-Forward,24,Canada
Centre-Forward,31,England
