position,age,nationality
Goalkeeper,25,England
Goalkeeper,25,Romania
Goalkeeper,34,England
Goalkeeper,19,Norway
Centre-Back,26,Belgium
Centre-Back,29,England
Centre-Back,21,Montenegro
Centre-Back,31,Cote d'Ivoire
Centre-Back,19,Serbia
Centre-Back,21,Belgium
Centre-Back,17,Netherlands
Centre-Back,17,England
Left-Back,26,France
Left-Back,26,Serbia
Left-Back,31,England
Right-Back,24,England
Right-Back,30,Brazil
Right-Back,27,Argentina
Defensive Midfield,21,England
Defensive Midfield,27,Netherlands
Defensive Midfield,25,Spain
Defensive Midfield,31,England
Defensive Midfield,17,England
Central Midfield,29,Cote d'Ivoire
Central Midfield,26,England
Central Midfield,21,Norway
Central Midfield,18,Spain
Central Midfield,19,Cote d'Ivoire
Left Midfield,23,England
Left Midfield,20,France
Attacking Midfield,26,Spain
Attacking Midfield,25,France
Left Winger,21,Italy
Right Winger,24,England
Right Winger,16,Portugal
Second Striker,28,Argentina
Centre-Forward,24,Argentina
Centre-Forward,21,Italy
Centre-Forward,26,Bosnia-Herzegovina
Centre-Forward,20,Sweden
Centre-Forward,21,England
