position,age,nationality
Goalkeeper,36,Finland
Goalkeeper,23,Hungary
Goalkeeper,21,England
Goalkeeper,18,England
Centre-Back,25,England
Centre-Back,31,England
Centre-Back,24,England
Centre-Back,32,England
Centre-Back,20,Belgium
Centre-Back,23,United States
Centre-Back,19,Ireland
Left-Back,20,Spain
Left-Back,32,Jamaica
Left-Back,19,England
Right-Back,29,Iceland
Right-Back,28,England
Right-Back,29,Wales
Right-Back,19,England
Defensive Midfield,27,England
Defensive Midfield,31,England
Central Midfield,23,England
Central Midfield,25,United States
Central Midfield,23,England
Central Midfield,26,England
Central Midfield,17,England
Left Midfield,20,Scotland
Attacking Midfield,22,"Korea, South"
Left Winger,32,Bulgaria
Left Winger,29,Turkey
Left Winger,20,DR Congo
Right Winger,25,England
Right Winger,18,Japan
Right Winger,20,Scotland
Second Striker,35,England
Centre-Forward,22,France
Centre-Forward,34,England
Centre-Forward,31,Croatia
Centre-Forward,20,England
