position,age,nationality
Goalkeeper,29,Spain
Goalkeeper,29,Ireland
Goalkeeper,23,Switzerland
Centre-Back,27,New Zealand
Centre-Back,28,Italy
Centre-Back,32,Portugal
Centre-Back,32,Wales
Centre-Back,17,England
Centre-Back,19,England
Centre-Back,23,Canada
Left-Back,26,England
Left-Back,22,DR Congo
Left-Back,21,Scotland
Left-Back,20,England
Right-Back,22,England
Right-Back,33,Spain
Right-Back,22,England
Right-Back,19,England
Defensive Midfield,26,Senegal
Defensive Midfield,26,Norway
Defensive Midfield,17,England
Central Midfield,24,Equatorial Guinea
Central Midfield,29,England
Central Midfield,20,Switzerland
Central Midfield,20,England
Central Midfield,16,Portugal
Central Midfield,20,Ireland
Attacking Midfield,29,France
Attacking Midfield,23,Argentina
Attacking Midfield,18,England
Left Winger,26,Ghana
Left Winger,18,England
Right Winger,24,Turkey
Right Winger,26,Algeria
Right Winger,26,England
Right Winger,28,Scotland
Right Winger,18,England
Right Winger,17,England
Centre-Forward,25,Italy
Centre-Forward,26,Ecuador
Centre-Forward,22,Argentina
Centre-Forward,27,England
Centre-Forward,26,Senegal
Centre-Forward,20,England
