position,age,nationality
Goalkeeper,32,Ireland
Goalkeeper,21,England
Goalkeeper,21,Denmark
Centre-Back,22,Croatia
Centre-Back,22,Belgium
Centre-Back,28,Ireland
Centre-Back,26,Israel
Centre-Back,21,England
Centre-Back,24,Brazil
Left-Back,27,England
Left-Back,23,Spain
Left-Back,28,England
Left-Back,18,Northern Ireland
Right-Back,20,England
Right-Back,23,Argentina
Right-Back,31,England
Right-Back,20,England
Defensive Midfield,23,Netherlands
Defensive Midfield,21,Switzerland
Defensive Midfield,20,England
Defensive Midfield,34,Germany
Defensive Midfield,20,Nigeria
Defensive Midfield,19,England
Attacking Midfield,27,Brazil
Attacking Midfield,21,Ireland
Left Winger,29,Bulgaria
Left Winger,28,Wales
Left Winger,18,Slovakia
Right Winger,26,England
Second Striker,24,Brazil
Centre-Forward,21,Brazil
Centre-Forward,29,Zimbabwe
Centre-Forward,22,Bulgaria
Centre-Forward,19,Ecuador
Centre-Forward,28,England
Centre-Forward,18,England
Centre-Forward,19,Wales
