position,age,nationality
Goalkeeper,29,United States
Goalkeeper,24,Scotland
Goalkeeper,34,England
Centre-Back,25,England
Centre-Back,27,Nigeria
Centre-Back,25,England
Centre-Back,19,England
Left-Back,23,England
Left-Back,33,Portugal
Right-Back,31,England
Right-Back,27,England
Right-Back,28,Denmark
Right-Back,19,Ireland
Defensive Midfield,26,Ecuador
Defensive Midfield,17,England
Central Midfield,26,Spain
Central Midfield,20,Belgium
Central Midfield,27,England
Central Midfield,18,England
Central Midfield,16,England
Left Midfield,18,England
Attacking Midfield,28,Australia
Attacking Midfield,16,England
Left Winger,26,South Africa
Right Winger,28,Netherlands
Centre-Forward,21,Brazil
Centre-Forward,25,Nigeria
Centre-Forward,29,France
Centre-Forward,20,Nigeria
Centre-Forward,19,England
Centre-Forward,19,England
Centre-Forward,18,England
