position,age,nationality
Goalkeeper,22,Poland
Goalkeeper,27,Poland
Goalkeeper,24,Italy
Goalkeeper,21,England
Goalkeeper,19,Argentina
Centre-Back,26,Belgium
Centre-Back,26,France
Centre-Back,27,Germany
Centre-Back,25,Switzerland
Centre-Back,31,France
Centre-Back,19,Spain
Centre-Back,18,Switzerland
Centre-Back,19,Bosnia-Herzegovina
Centre-Back,18,Portugal
Left-Back,26,Spain
Left-Back,22,England
Left-Back,19,England
Right-Back,29,France
Right-Back,20,England
Right-Back,17,Spain
Defensive Midfield,21,France
Defensive Midfield,20,Ghana
Defensive Midfield,19,China
Central Midfield,20,England
Central Midfield,27,Spain
Central Midfield,30,Spain
Central Midfield,18,England
Central Midfield,21,Wales
Central Midfield,26,France
Attacking Midfield,29,Brazil
Attacking Midfield,31,Czech Republic
Attacking Midfield,19,Germany
Left Winger,25,Cote d'Ivoire
Right Winger,23,England
Right Winger,19,Japan
Right Winger,16,Germany
Second Striker,27,Germany
Second Striker,31,Russia
Centre-Forward,25,France
Centre-Forward,28,Morocco
Centre-Forward,18,Ghana
Centre-Forward,16,England
