position,age,nationality
Goalkeeper,30,Oman
Goalkeeper,22,Spain
Goalkeeper,19,England
Goalkeeper,40,England
Centre-Back,27,Spain
Centre-Back,29,Paraguay
Centre-Back,30,Scotland
Centre-Back,32,Austria
Centre-Back,25,Spain
Centre-Back,20,Spain
Centre-Back,21,Ireland
Left-Back,28,Chile
Left-Back,29,Honduras
Left-Back,21,England
Right-Back,28,Netherlands
Right-Back,32,Barbados
Right-Back,19,Spain
Right-Back,20,England
Central Midfield,21,Ireland
Central Midfield,26,England
Central Midfield,27,Spain
Central Midfield,24,Scotland
Central Midfield,27,England
Central Midfield,19,Scotland
Central Midfield,25,Honduras
Attacking Midfield,29,Scotland
Attacking Midfield,21,England
Left Winger,30,Spain
Right Winger,21,Nigeria
Right Winger,19,Japan
Right Winger,21,England
Second Striker,19,Slovakia
Centre-Forward,28,Cote d'Ivoire
Centre-Forward,27,Argentina
Centre-Forward,23,Argentina
Centre-Forward,18,Chile
Centre-Forward,20,Mali
