position,age,nationality
Goalkeeper,39.0,Netherlands
Goalkeeper,28.0,Poland
Goalkeeper,26.0,Denmark
Goalkeeper,20.0,England
Centre-Back,28.0,Serbia
Centre-Back,31.0,England
Centre-Back,22.0,Northern Ireland
Centre-Back,30.0,England
Centre-Back,29.0,Ireland
Centre-Back,20.0,England
Centre-Back,19.0,England
Left-Back,29.0,France
Right-Back,24.0,Ecuador
Right-Back,19.0,Brazil
Right-Back,35.0,England
Right-Back,19.0,Brazil
Right-Back,21.0,Belgium
Defensive Midfield,28.0,England
Defensive Midfield,29.0,England
Central Midfield,22.0,Brazil
Central Midfield,26.0,Scotland
Central Midfield,35.0,England
Central Midfield,22.0,Ireland
Central Midfield,20.0,England
Central Midfield,19.0,Northern Ireland
Central Midfield,19.0,Norway
Central Midfield,17.0,France
Central Midfield,17.0,England
Left Midfield,36.0,Wales
Left Midfield,18.0,Ireland
Attacking Midfield,29.0,"Korea, South"
Attacking Midfield,17.0,Jamaica
Left Winger,23.0,Portugal
Left Winger,19.0,Portugal
Right Winger,21.0,France
Second Striker,18.0,Norway
Centre-Forward,24.0,England
Centre-Forward,29.0,Bulgaria
Centre-Forward,30.0,England
Centre-Forward,22.0,Mexico
Centre-Forward,22.0,Senegal
Centre-Forward,19.0,England
Centre-Forward,18.0,Italy
