position,age,nationality
Goalkeeper,32,Brazil
Goalkeeper,32,England
Goalkeeper,38,Czech Republic
Goalkeeper,29,Ireland
Centre-Back,28,Congo
Centre-Back,25,England
Centre-Back,27,England
Centre-Back,30,Israel
Centre-Back,33,England
Centre-Back,34,New Zealand
Centre-Back,20,Germany
Left-Back,22,Senegal
Left-Back,22,"Korea, South"
Right-Back,21,Brazil
Right-Back,29,Portugal
Right-Back,32,England
Right-Back,19,Ireland
Defensive Midfield,26,Cameroon
Defensive Midfield,23,Mali
Defensive Midfield,34,England
Central Midfield,24,Spain
Central Midfield,29,England
Central Midfield,25,Argentina
Right Midfield,33,England
Left Midfield,24,England
Attacking Midfield,23,Morocco
Attacking Midfield,31,"Korea, South"
Left Winger,22,Canada
Right Winger,30,England
Right Winger,26,Scotland
Right Winger,20,England
Centre-Forward,25,France
Centre-Forward,30,France
Centre-Forward,31,England
Centre-Forward,31,England
Centre-Forward,30,England
Centre-Forward,30,England
Centre-Forward,32,England
