position,age,nationality
Goalkeeper,24,England
Goalkeeper,24,Scotland
Goalkeeper,30,Wales
Centre-Back,32,England
Centre-Back,32,England
Centre-Back,20,England
Centre-Back,24,Ireland
Left-Back,25,England
Right-Back,31,England
Right-Back,33,Denmark
Defensive Midfield,26,England
Defensive Midfield,27,Morocco
Central Midfield,26,Northern Ireland
Central Midfield,31,Scotland
Central Midfield,25,Jamaica
Right Midfield,19,England
Left Midfield,27,Canada
Attacking Midfield,33,England
Left Winger,26,Northern Ireland
Right Winger,28,England
Centre-Forward,18,England
Centre-Forward,30,Sweden
Centre-Forward,26,England
Centre-Forward,29,Sweden
Centre-Forward,19,England
Centre-Forward,17,England
Centre-Forward,20,England
