position,age,nationality
Goalkeeper,33,Northern Ireland
Goalkeeper,35,Belgium
Goalkeeper,20,Ireland
Centre-Back,27,Czech Republic
Centre-Back,26,England
Centre-Back,34,Ireland
Centre-Back,29,Cote d'Ivoire
Centre-Back,25,England
Centre-Back,20,England
Centre-Back,20,Czech Republic
Centre-Back,20,Northern Ireland
Centre-Back,19,England
Left-Back,29,England
Left-Back,18,England
Right-Back,28,Netherlands
Midfielder,18,England
Defensive Midfield,26,Tunisia
Defensive Midfield,19,Australia
Central Midfield,30,England
Central Midfield,26,Northern Ireland
Right Midfield,30,Turkey
Right Midfield,27,England
Right Midfield,19,England
Left Midfield,32,Australia
Attacking Midfield,25,England
Right Winger,22,England
Centre-Forward,29,Uruguay
Centre-Forward,27,England
Centre-Forward,24,Finland
Centre-Forward,26,Ireland
Centre-Forward,32,England
Centre-Forward,25,England
Centre-Forward,23,England
