position,age,nationality
Goalkeeper,28,England
Goalkeeper,28,Hungary
Goalkeeper,23,England
Centre-Back,26,England
Centre-Back,31,Austria
Centre-Back,27,Romania
Centre-Back,25,Chile
Centre-Back,28,Sweden
Centre-Back,31,Northern Ireland
Centre-Back,21,England
Centre-Back,19,England
Left-Back,30,England
Left-Back,28,Slovakia
Left-Back,21,England
Right-Back,30,Ireland
Right-Back,24,England
Right-Back,19,England
Defensive Midfield,24,DR Congo
Defensive Midfield,18,England
Central Midfield,32,Hungary
Central Midfield,25,Scotland
Central Midfield,24,Scotland
Central Midfield,30,Ireland
Central Midfield,19,England
Central Midfield,19,Scotland
Left Midfield,26,Northern Ireland
Attacking Midfield,28,Cameroon
Left Winger,28,England
Right Winger,29,Nigeria
Centre-Forward,29,French Guiana
Centre-Forward,24,Ireland
Centre-Forward,28,Czech Republic
Centre-Forward,24,Ireland
Centre-Forward,19,New Zealand
Centre-Forward,17,Burundi
Centre-Forward,18,Jamaica
